




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	evolved_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.adaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.maladaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	allexp_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	allexp_forGO.txt - REFLIST (12841)	evolved_ref_forGO.txt (166)	evolved_ref_forGO.txt (expected)	evolved_ref_forGO.txt (over/under)	evolved_ref_forGO.txt (fold Enrichment)	evolved_ref_forGO.txt (raw P-value)	evolved_ref_forGO.txt (FDR)	adaptive_plasticity_ref_forGO.txt (41)	adaptive_plasticity_ref_forGO.txt (expected)	adaptive_plasticity_ref_forGO.txt (over/under)	adaptive_plasticity_ref_forGO.txt (fold Enrichment)	adaptive_plasticity_ref_forGO.txt (raw P-value)	adaptive_plasticity_ref_forGO.txt (FDR)	maladaptive_plasticity_ref_forGO.txt (15)	maladaptive_plasticity_ref_forGO.txt (expected)	maladaptive_plasticity_ref_forGO.txt (over/under)	maladaptive_plasticity_ref_forGO.txt (fold Enrichment)	maladaptive_plasticity_ref_forGO.txt (raw P-value)	maladaptive_plasticity_ref_forGO.txt (FDR)
protein glycosylation in endoplasmic reticulum (GO:0033577)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	1	.00	+	 > 100	2.33E-03	1.00E00
polyphosphate biosynthetic process (GO:0006799)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
polyphosphate metabolic process (GO:0006797)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of endodermal cell differentiation (GO:1903224)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	1	.00	+	 > 100	2.33E-03	1.00E00
L-ascorbic acid transmembrane transport (GO:0015882)	1	1	.01	+	77.36	2.54E-02	1.00E00	1	.00	+	 > 100	6.36E-03	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to acidic pH (GO:0071468)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to pH (GO:0071467)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of reciprocal meiotic recombination (GO:0010845)	1	1	.01	+	77.36	2.54E-02	1.00E00	1	.00	+	 > 100	6.36E-03	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to gravity (GO:0071258)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	1	.00	+	 > 100	2.33E-03	1.00E00
cellular response to benomyl (GO:0072755)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
dorsal/ventral pattern formation (GO:0009953)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of lyase activity (GO:0051339)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to benomyl (GO:1901561)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
