GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic8_ref_forGO.txt (4605),plastic8_ref_forGO.txt (expected),plastic8_ref_forGO.txt (over/under),plastic8_ref_forGO.txt (fold Enrichment),plastic8_ref_forGO.txt (raw P-value),plastic8_ref_forGO.txt (FDR),plastic32_ref_forGO.txt (7279),plastic32_ref_forGO.txt (expected),plastic32_ref_forGO.txt (over/under),plastic32_ref_forGO.txt (fold Enrichment),plastic32_ref_forGO.txt (raw P-value),plastic32_ref_forGO.txt (FDR),different_dir_832_genes_ref_forGO.txt (129),different_dir_832_genes_ref_forGO.txt (expected),different_dir_832_genes_ref_forGO.txt (over/under),different_dir_832_genes_ref_forGO.txt (fold Enrichment),different_dir_832_genes_ref_forGO.txt (raw P-value),different_dir_832_genes_ref_forGO.txt (FDR)
establishment of meiotic sister chromatid cohesion (GO:0034089),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
establishment of mitotic sister chromatid cohesion (GO:0034087),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
establishment of sister chromatid cohesion (GO:0034085),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
multivesicular body assembly (GO:0036258),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
multivesicular body organization (GO:0036257),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
establishment or maintenance of cytoskeleton polarity (GO:0030952),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
xenobiotic transport (GO:0042908),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
benzoate metabolic process (GO:0018874),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
positive regulation of plant-type hypersensitive response (GO:0034052),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
