GO biological process complete,allexp_forGO.txt - REFLIST (12841),plasticdown.txt (4129),plasticdown.txt (expected),plasticdown.txt (over/under),plasticdown.txt (fold Enrichment),plasticdown.txt (raw P-value),plasticdown.txt (FDR),plasticup.txt (4158),plasticup.txt (expected),plasticup.txt (over/under),plasticup.txt (fold Enrichment),plasticup.txt (raw P-value),plasticup.txt (FDR),plastic8down.txt (2285),plastic8down.txt (expected),plastic8down.txt (over/under),plastic8down.txt (fold Enrichment),plastic8down.txt (raw P-value),plastic8down.txt (FDR),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR)
establishment of mitotic sister chromatid cohesion (GO:0034087),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
establishment or maintenance of cytoskeleton polarity (GO:0030952),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
benzoate metabolic process (GO:0018874),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
Golgi to endosome transport (GO:0006895),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
chloroplast mRNA modification (GO:1900871),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.968,2,1.2,+,1.67,0.633,1
regulation of inflorescence meristem growth (GO:0010081),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of floral meristem growth (GO:0010080),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of protein binding (GO:0043393),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of DNA binding (GO:0043388),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
