GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic32up.txt (4014),plastic32up.txt (expected),plastic32up.txt (over/under),plastic32up.txt (fold Enrichment),plastic32up.txt (raw P-value),plastic32up.txt (FDR),plastic8up.txt (2465),plastic8up.txt (expected),plastic8up.txt (over/under),plastic8up.txt (fold Enrichment),plastic8up.txt (raw P-value),plastic8up.txt (FDR),plastic32down.txt (3826),plastic32down.txt (expected),plastic32down.txt (over/under),plastic32down.txt (fold Enrichment),plastic32down.txt (raw P-value),plastic32down.txt (FDR)
establishment of meiotic sister chromatid cohesion (GO:0034089),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
establishment of mitotic sister chromatid cohesion (GO:0034087),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
establishment of sister chromatid cohesion (GO:0034085),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
multivesicular body assembly (GO:0036258),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
multivesicular body organization (GO:0036257),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
establishment or maintenance of cytoskeleton polarity (GO:0030952),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
xenobiotic transport (GO:0042908),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
benzoate metabolic process (GO:0018874),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
positive regulation of plant-type hypersensitive response (GO:0034052),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
Golgi to endosome transport (GO:0006895),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
peptidyl-serine acetylation (GO:0030920),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
purine ribonucleoside bisphosphate biosynthetic process (GO:0034036),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
purine ribonucleoside bisphosphate metabolic process (GO:0034035),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
chloroplast mRNA modification (GO:1900871),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
mitochondrial pyruvate transmembrane transport (GO:0006850),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
pyruvate transport (GO:0006848),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,0,0.58,-, < 0.01,1,1,1,0.89,+,1.12,1,1
regulation of inflorescence meristem growth (GO:0010081),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of floral meristem growth (GO:0010080),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of protein binding (GO:0043393),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of DNA binding (GO:0043388),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
cobalt ion transport (GO:0006824),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
protoderm histogenesis (GO:0010068),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
embryonic shoot morphogenesis (GO:0010064),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of trichoblast fate specification (GO:0010063),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
histone glutamine methylation (GO:1990258),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
atrichoblast differentiation (GO:0010055),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
nitric oxide biosynthetic process (GO:0006809),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
response to mycotoxin (GO:0010046),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
shikimate biosynthetic process (GO:0033587),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to manganese ion (GO:0010042),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
